S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2022-02-03,139,NICA,NIC Asia Bank Ltd.,870.0000,877.0000,860.0000,860.4000,150826,130653042.5000,870.0000,1085.0000,701.0000,2022-02-03T14:59:51.124434,860.4000,899,866.25,99496.70
2,2022-02-03,250,JFL,Janaki Finance Ltd.,705.0000,710.0000,690.9000,692.0000,47288,32998245.8000,692.1000,836.0000,244.0000,2022-02-03T14:59:56.903676,692.0000,347,697.81,4154.85
3,2022-02-03,338,PROFL,ProgressiveFinance Limited,411.0000,414.0000,395.0000,399.0000,35097,14220282.6000,406.0000,574.0000,152.0000,2022-02-03T14:59:32.575852,399.0000,274,405.17,3415.87
4,2022-02-03,490,FMDBL,First Micro Finance Development Bank Ltd.,900.0000,907.8000,880.0000,882.0000,18702,16734227.5000,899.0000,1365.0000,667.0000,2022-02-03T14:59:58.793621,882.0000,172,894.78,8506.82
5,2022-02-03,575,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,1305.0000,1330.0000,1255.0000,1260.0000,23384,30148577.4000,1305.6000,1800.0000,1001.0000,2022-02-03T14:59:56.831931,1260.0000,302,1289.28,15637.44
6,2022-02-03,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,1400.0000,1445.0000,1361.1000,1395.0000,1535,2136157.0000,1423.0000,2036.0000,1240.0000,2022-02-03T14:59:40.143108,1395.0000,45,1391.63,4463.96
7,2022-02-03,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,1126.0000,1127.0000,1100.0000,1100.0000,3751,4166997.0000,1105.0000,1661.0000,1000.0000,2022-02-03T14:59:50.490248,1100.0000,54,1110.90,7214.49
8,2022-02-03,2787,KPCL,Kalika power Company Ltd,549.0000,575.0000,545.0000,547.9000,38315,21474442.1000,539.0000,878.9000,221.0000,2022-02-03T14:59:55.619525,547.9000,267,560.47,3780.51
9,2022-02-03,2809,SHIVM,SHIVAM CEMENTS LTD,1524.0000,1524.0000,1470.0000,1470.0000,57741,85999213.7000,1496.0000,1910.0000,1027.0000,2022-02-03T14:59:57.015460,1470.0000,488,1489.39,64680.00
10,2022-02-03,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,425.0000,435.0000,420.5000,420.5000,129967,55565500.5000,422.0000,613.0000,301.0000,2022-02-03T14:59:55.933865,420.5000,825,427.53,25893.93
11,2022-02-03,2900,RLI,Reliance Life Insurance Limited,584.0000,584.4000,572.0000,574.0000,24984,14372260.4000,573.0000,815.0000,423.4000,2022-02-03T14:59:59.816296,574.0000,506,575.25,12054.00
12,2022-02-03,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,3980.0000,4010.0000,3940.0000,3945.0000,1513,5989931.0000,3973.0000,5749.0000,438.0000,2022-02-03T14:59:35.747399,3945.0000,80,3958.97,5818.88
13,2022-02-03,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,1461.2000,1487.9000,1452.0000,1487.9000,4049,5939076.2000,1491.0000,2310.0000,296.7000,2022-02-03T14:56:05.934471,1487.9000,109,1466.80,2109.03
14,2022-02-03,8023,MMF1,Mega Mutual Fund -1,9.0300,9.3600,9.0300,9.3000,22120,203309.0000,9.2000,10.2800,8.5800,2022-02-03T14:52:11.543898,9.3000,83,9.19,1162.50
15,2022-02-03,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,678.0000,744.0000,640.0000,744.0000,46157,30917649.2000,678.0000,744.0000,246.7000,2022-02-03T14:59:54.916414,744.0000,2898,669.83,2976.00
16,2022-02-03,144,NCCB,Nepal Credit And Commercial Bank Limited,278.0000,281.5000,271.8000,273.0000,98739,27226574.6000,276.0000,407.0000,252.8000,2022-02-03T14:59:57.005119,273.0000,383,275.74,30411.32
17,2022-02-03,148,TRH,Taragaon Regency Hotel Limited,380.4000,382.0000,371.0000,374.0000,11828,4440138.6000,375.0000,468.0000,275.0000,2022-02-03T14:59:57.890393,374.0000,56,375.39,7056.09
18,2022-02-03,149,OHL,Oriental Hotels Limited,501.0000,530.0000,501.0000,507.5000,8885,4540049.5000,510.0000,761.0000,398.0000,2022-02-03T14:59:58.586724,507.5000,44,510.97,5725.06
19,2022-02-03,185,SIC,Sagarmatha Insurance Co. Ltd.,1380.0000,1396.0000,1373.0000,1380.0000,3963,5481294.1000,1370.0000,1890.0000,1008.0000,2022-02-03T14:59:54.568351,1380.0000,69,1383.11,15336.73
20,2022-02-03,227,BFC,Best Finance Company Ltd.,531.0000,532.0000,516.0000,516.1000,37500,19689575.4000,520.6000,630.0000,151.0000,2022-02-03T14:59:55.279707,516.1000,295,525.05,4278.02
21,2022-02-03,236,PFL,Pokhara Finance Ltd.,620.0000,620.0000,596.0000,596.0000,76668,46398407.0000,614.9000,920.0000,245.0000,2022-02-03T14:59:59.817496,596.0000,519,605.18,6203.88
22,2022-02-03,348,CZBIL,Citizen Bank International Limited,298.0000,305.0000,298.0000,299.0000,83422,25099298.0000,299.0000,444.0000,252.9000,2022-02-03T14:59:46.308079,299.0000,472,300.87,42460.91
23,2022-02-03,417,GBBL,Garima Bikas Bank Limited,623.9000,625.0000,612.0000,615.0000,158501,97617980.6000,615.0000,750.0000,293.0000,2022-02-03T14:59:59.847270,615.0000,700,615.88,22606.86
24,2022-02-03,447,GLICL,Gurans Life Insurance Company Ltd.,709.9000,728.0000,693.0000,695.0000,53308,37438367.2000,700.0000,901.0000,460.0000,2022-02-03T14:59:45.519307,695.0000,256,702.30,14485.54
25,2022-02-03,450,CORBL,Corporate Development Bank Limited,610.1000,620.0000,601.2000,601.2000,6433,3923656.1000,610.0000,1155.0000,460.0000,2022-02-03T14:58:56.974031,601.2000,85,609.92,3006.00
26,2022-02-03,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,1224.0000,1232.0000,1199.0000,1199.0000,13769,16672796.6000,1200.0000,1989.0000,878.1000,2022-02-03T14:59:58.940310,1199.0000,176,1210.89,14388.00
27,2022-02-03,2746,NMFBS,National Microfinance Bittiya Sanstha Ltd.,2710.0000,2749.0000,2675.0000,2680.0000,4689,12705572.5000,2705.0000,4080.0000,2360.0000,2022-02-03T14:58:26.517924,2680.0000,112,2709.65,15722.89
28,2022-02-03,2768,MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1640.0000,1655.0000,1630.0000,1635.0000,1325,2179459.0000,1651.0000,3131.0000,1485.0000,2022-02-03T14:57:23.613377,1635.0000,35,1644.87,4613.47
29,2022-02-03,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,990.0000,990.0000,985.0000,988.0000,325,320502.5000,1005.0000,1150.0000,985.0000,2022-02-03T14:21:13.112116,988.0000,5,986.16,
30,2022-02-03,2917,CGH,Chandragiri Hills Limited,1470.0000,1470.0000,1425.0000,1426.0000,11539,16692792.1000,1455.0000,2800.0000,159.0000,2022-02-03T14:59:59.652111,1426.0000,203,1446.64,21876.14
31,2022-02-03,2932,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,918.0000,918.0000,918.0000,918.0000,25,22950.0000,900.0000,1055.0000,900.0000,2022-02-03T13:26:01.558179,918.0000,1,918.00,
32,2022-02-03,4947,PSF,Prabhu Select Fund,9.0800,9.5200,9.0800,9.2200,17735,164335.5500,9.2500,11.2200,8.7500,2022-02-03T14:54:21.988061,9.2200,47,9.26,1152.50
33,2022-02-03,142,KBL,Kumari Bank Limited,264.0000,270.2000,262.0000,263.0000,110414,29305691.4000,263.0000,413.0000,223.0000,2022-02-03T14:59:56.931889,263.0000,585,265.41,38690.41
34,2022-02-03,152,NHPC,National Hydro Power Company Limited,425.4000,441.6000,417.0000,418.0000,578092,248178259.1000,417.1000,530.9000,132.0000,2022-02-03T14:59:56.953484,418.0000,2783,429.30,5790.08
35,2022-02-03,183,NIL,Neco Insurance Co. Ltd.,1326.0000,1326.0000,1294.0000,1299.0000,39543,51611993.5000,1300.0000,1900.0000,950.0000,2022-02-03T14:59:43.815236,1299.0000,290,1305.21,19766.02
36,2022-02-03,190,LGIL,Lumbini General Insurance Co. Ltd.,807.0000,807.0000,778.0000,778.0000,29500,23208822.0000,800.0000,975.0000,566.5000,2022-02-03T14:59:55.453309,778.0000,166,786.73,9327.36
37,2022-02-03,428,KRBL,Karnali Development Bank Limited,465.0000,466.0000,441.1000,445.0000,33082,14936006.4000,457.0000,607.0000,157.0000,2022-02-03T14:59:53.208475,445.0000,220,451.48,2358.54
38,2022-02-03,471,MPFL,Multipurpose Finance Company  Limited,457.9000,460.0000,442.0000,442.0000,17343,7828805.1000,449.0000,696.0000,167.0000,2022-02-03T14:59:30.512438,442.0000,103,451.41,1997.84
39,2022-02-03,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,1370.0000,1374.0000,1331.0000,1334.0000,10385,14074673.8000,1365.0000,1715.0000,1015.0000,2022-02-03T14:59:30.928612,1334.0000,115,1355.28,4173.76
40,2022-02-03,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1844.9000,1844.9000,1775.0000,1808.0000,375,671009.0000,1810.0000,2540.0000,1475.0000,2022-02-03T14:53:43.315004,1808.0000,11,1789.35,3081.51
41,2022-02-03,702,EICPO,Everest Insurance Co. Ltd. Promoter Share,467.0000,470.0000,451.4000,451.4000,1831,855390.6000,468.0000,530.1000,325.9000,2022-02-03T13:59:08.542096,451.4000,7,467.17,457.04
42,2022-02-03,2751,KKHC,Khanikhola Hydropower Co. Ltd.,340.0000,345.4000,332.0000,335.0000,35071,11853707.9000,334.0000,556.2000,111.0000,2022-02-03T14:59:59.338952,335.0000,301,337.99,1560.14
43,2022-02-03,2752,NMBHF1,NMB Hybrid Fund L-1,12.0000,12.2000,11.9000,11.9000,45444,544981.9200,12.2400,16.2500,10.1300,2022-02-03T14:54:57.294035,11.9000,26,11.99,11900.00
44,2022-02-03,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1451.0000,1468.0000,1425.0000,1433.0000,3807,5489258.1000,1445.0000,1938.0000,1077.0000,2022-02-03T14:59:26.861668,1433.0000,91,1441.88,4398.21
45,2022-02-03,2811,MHNL,Mountain Hydro Nepal Limited,525.0000,536.0000,511.0000,516.0000,79292,41703165.0000,515.0000,720.0000,208.0000,2022-02-03T14:59:57.975622,516.0000,322,525.94,6450.00
46,2022-02-03,2862,CMF2,CITIZENS MUTUAL FUND 2,10.3000,10.4900,10.3000,10.3600,9700,100821.8000,10.4200,16.8700,9.0400,2022-02-03T14:47:41.887517,10.3600,15,10.39,580.16
47,2022-02-03,2880,HDHPC,Himal Dolakha Hydropower Company Limited,368.2000,373.9000,357.0000,360.0000,322163,118518737.9000,361.0000,478.9000,123.0000,2022-02-03T14:59:53.478437,360.0000,1209,367.88,5760.00
48,2022-02-03,2902,LUK,Laxmi Unnati Kosh,10.2000,10.4500,10.1200,10.4000,20150,209227.5000,10.3700,16.0000,9.3100,2022-02-03T14:55:53.129345,10.4000,34,10.38,678.73
49,2022-02-03,2907,SSHL,Shiva Shree Hydropower Ltd,398.8000,414.1000,383.0000,386.9000,128938,51284152.7000,391.0000,533.0000,156.0000,2022-02-03T14:59:55.451277,386.9000,671,397.74,5712.19
50,2022-02-03,2934,SHEL,Singati Hydro Energy Limited,521.4000,537.0000,516.1000,524.0000,101166,53322018.6000,511.2000,650.0000,306.0000,2022-02-03T14:59:59.962907,524.0000,1118,527.07,7598.00
51,2022-02-03,280,SIL,Siddhartha Insurance Ltd.,1009.8000,1050.0000,1009.8000,1018.0000,74774,76542627.7000,990.0000,1376.0000,732.0000,2022-02-03T14:59:40.652002,1018.0000,475,1023.65,11401.60
52,2022-02-03,371,MDB,Miteri Development Bank Limited,570.0000,576.9000,559.0000,559.0000,25063,14244673.3000,562.1000,873.2000,320.0000,2022-02-03T14:59:53.679401,559.0000,161,568.35,5050.16
53,2022-02-03,517,NBL,Nepal Bank Limited,380.0000,382.5000,370.0000,370.5000,114244,42650667.1000,375.0000,575.0000,317.0000,2022-02-03T14:59:58.795632,370.5000,687,373.32,53373.88
54,2022-02-03,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1620.0000,1629.2000,1575.0000,1588.0000,691,1107786.0000,1600.0000,2574.0000,1205.0000,2022-02-03T14:48:28.394147,1588.0000,23,1603.16,6098.78
55,2022-02-03,657,MEGAPO,Mega  Bank Nepal Ltd. Promoter Share,120.0000,120.0000,120.0000,120.0000,26896,3227520.0000,120.0000,132.0000,118.0000,2022-02-03T12:45:51.888147,120.0000,1,120.00,3131.52
56,2022-02-03,1740,GIMES1,Global IME Samunnat Scheme-1,12.3900,12.3900,11.9100,12.1000,207214,2509399.2600,12.1500,25.0900,9.9000,2022-02-03T14:58:53.632470,12.1000,57,12.11,1210.00
57,2022-02-03,2758,FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,2520.0000,2560.0000,2485.0000,2490.0000,25690,64774213.3000,2560.0000,3530.0000,2000.0000,2022-02-03T14:59:56.620075,2490.0000,628,2521.37,21026.83
58,2022-02-03,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1994.0000,1994.0000,1925.0000,1950.0000,958,1871954.2000,1994.0000,3110.0000,1670.0000,2022-02-03T14:55:22.924992,1950.0000,36,1954.02,2374.75
59,2022-02-03,2835,NBF2,NABIL BALANCED FUND-2,11.4900,11.5000,11.2000,11.5000,36660,414636.3000,11.3700,17.0000,10.0000,2022-02-03T14:45:15.480262,11.5000,30,11.31,1288.00
60,2022-02-03,2860,SAPDBL,Saptakoshi Development Bank Ltd,377.0000,382.9000,362.6000,363.0000,42159,15761827.1000,370.0000,540.0000,155.0000,2022-02-03T14:59:28.534787,363.0000,188,373.86,3028.65
61,2022-02-03,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1110.0000,1110.0000,1105.0000,1105.0000,165,183025.0000,1110.0000,1242.0000,1050.0000,2022-02-03T14:36:15.130301,1105.0000,3,1109.24,
62,2022-02-03,2936,NCCD86,9.5% NCC Debenture 2086,950.0000,950.0000,950.0000,950.0000,100,95000.0000,950.0000,1026.0000,946.0000,2022-02-03T11:55:35.652700,950.0000,1,950.00,
63,2022-02-03,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,4900.0000,4950.0000,4740.0000,4765.0000,17003,81885968.2000,4866.0000,5516.9000,890.0000,2022-02-03T14:59:57.766131,4765.0000,871,4815.97,28990.26
64,2022-02-03,155,STC,Salt Trading Corporation,6696.0000,6749.0000,6575.0000,6576.0000,3504,23208593.9000,6623.1000,13780.0000,4740.0000,2022-02-03T14:59:50.163622,6576.0000,131,6623.45,15156.56
65,2022-02-03,359,SRBL,Sunrise Bank Limited,290.0000,295.0000,287.2000,287.2000,42612,12396188.8000,289.9000,418.2000,250.0000,2022-02-03T14:59:39.050726,287.2000,231,290.90,29061.46
66,2022-02-03,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,1500.0000,1500.0000,1455.0000,1459.1000,2398,3510424.8000,1485.0000,1987.9000,1026.1000,2022-02-03T14:59:33.277845,1459.1000,29,1463.89,3720.03
67,2022-02-03,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,1719.0000,1720.0000,1680.0000,1700.0000,1883,3190756.1000,1700.0000,2042.0000,1072.0000,2022-02-03T14:59:58.136371,1700.0000,45,1694.50,6677.75
68,2022-02-03,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2033.0000,2114.0000,1990.1000,1990.1000,233,471991.0000,1994.6000,2900.0000,1619.0000,2022-02-03T14:23:25.730026,1990.1000,16,2025.71,1707.51
69,2022-02-03,2776,RADHI,Radhi Bidyut Company Ltd,740.6000,748.1000,717.0000,717.0000,101001,74647789.0000,726.1000,1340.0000,314.0000,2022-02-03T14:59:56.288646,717.0000,637,739.07,4634.72
70,2022-02-03,2779,NICGF,NIC Asia Growth Fund,12.2200,12.4600,12.2200,12.4000,19746,245060.4000,12.3500,18.1200,10.4300,2022-02-03T14:51:21.229856,12.4000,14,12.41,1035.65
71,2022-02-03,2806,GHL,Ghalemdi Hydro Limited,363.1000,370.0000,350.1000,350.1000,95438,34372592.9000,356.0000,555.9000,120.0000,2022-02-03T14:59:53.687660,350.1000,492,360.15,1925.55
72,2022-02-03,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1395.0000,1451.0000,1395.0000,1416.0000,2503,3551441.6000,1423.0000,2140.0000,1304.0000,2022-02-03T14:59:18.085128,1416.0000,61,1418.87,5869.58
73,2022-02-03,2908,SGI,Sanima General Insurance Limited,675.0000,676.0000,658.1000,663.0000,10430,6932271.4000,671.0000,900.0000,474.0000,2022-02-03T14:59:52.881926,663.0000,298,664.64,6630.00
74,2022-02-03,2937,SBCF,Sunrise Bluechip Fund,9.0800,9.3900,9.0800,9.1800,22890,210891.7000,9.2400,11.2900,8.1800,2022-02-03T14:59:15.718763,9.1800,34,9.21,1147.50
75,2022-02-03,8026,NYADI,Nyadi Hydropower Limited,509.0000,530.2000,503.0000,530.0000,56373,29323342.0000,509.0000,545.0000,282.3000,2022-02-03T14:59:55.864549,530.0000,1690,520.16,7950.00
76,2022-02-03,154,CHCL,Chilime Hydropower Company Limited,539.5000,546.9000,527.0000,527.0000,37925,20384015.3000,534.0000,785.0000,462.0000,2022-02-03T14:59:56.639694,527.0000,295,537.48,35581.96
77,2022-02-03,178,NLICL,National Life Insurance Co. Ltd.,1148.0000,1148.0000,1115.0000,1115.0000,42862,48337928.7000,1130.0000,1411.0000,780.0000,2022-02-03T14:59:46.726987,1115.0000,367,1127.75,37808.42
78,2022-02-03,180,UIC,United Insurance Co. (Nepal) Ltd.,743.0000,743.0000,721.0000,728.0000,26747,19478570.0000,728.8000,890.0000,546.0000,2022-02-03T14:59:58.359578,728.0000,139,728.25,7485.00
79,2022-02-03,255,PRVU,Prabhu  Bank Limited,336.0000,339.9000,331.5000,333.0000,96481,32247252.1000,334.0000,525.0000,285.0000,2022-02-03T14:59:52.008691,333.0000,466,334.23,42319.98
80,2022-02-03,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,574.0000,610.0000,574.0000,593.0000,1384721,827035336.5000,563.0000,785.0000,237.0000,2022-02-03T14:59:59.853551,593.0000,5721,597.25,10256.50
81,2022-02-03,418,JBBL,Jyoti Bikas Bank Limited,458.0000,469.9000,444.0000,447.0000,102236,46569618.1000,454.0000,649.9000,215.0000,2022-02-03T14:59:59.840055,447.0000,695,455.51,19076.86
82,2022-02-03,686,BARUN,Barun Hydropower Co. Ltd.,575.0000,577.0000,555.0000,555.0000,42189,23936517.4000,565.0000,763.4000,215.0000,2022-02-03T14:59:47.082232,555.0000,320,567.36,1486.89
83,2022-02-03,2753,NEF,Nabil Equity Fund,10.9700,11.3300,10.9700,11.2000,120429,1357271.5500,11.0000,17.4900,9.8300,2022-02-03T14:59:21.654119,11.2000,31,11.27,1400.00
84,2022-02-03,2767,HPPL,Himalayan Power Partner Ltd.,530.0000,540.0000,517.0000,517.1000,82449,43589953.8000,520.0000,749.1000,283.0000,2022-02-03T14:59:57.635232,517.1000,341,528.68,5509.27
85,2022-02-03,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1698.0000,1698.0000,1635.0000,1636.0000,344,569257.6000,1665.0000,2868.0000,1442.0000,2022-02-03T14:54:43.658253,1636.0000,18,1654.81,3746.78
86,2022-02-03,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1816.7000,1959.2000,1816.7000,1959.2000,2373,4643638.4000,1781.1000,1959.2000,831.0000,2022-02-03T14:27:45.727743,1959.2000,105,1956.86,1419.37
87,2022-02-03,2786,PMHPL,Panchakanya Mai Hydropower Ltd,393.7000,396.9000,385.0000,390.0000,76830,30053667.1000,386.0000,484.0000,133.0000,2022-02-03T14:59:49.159080,390.0000,472,391.17,4290.00
88,2022-02-03,2824,HURJA,Himalaya Urja Bikas Company Limited,550.0000,554.8000,530.0000,554.8000,38061,20790849.0000,540.0000,685.4000,204.0000,2022-02-03T14:59:52.608800,554.8000,253,546.25,5492.52
89,2022-02-03,2843,SABSL,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,1529.9000,1560.0000,1482.0000,1482.0000,1063,1613843.4000,1505.0000,2306.2000,1041.0000,2022-02-03T14:58:01.345608,1482.0000,52,1518.19,4001.38
90,2022-02-03,2867,NMB50,NMB 50,13.1300,13.4600,13.0800,13.4500,219695,2945209.3500,13.1100,18.4700,10.7200,2022-02-03T14:58:51.838764,13.4500,35,13.40,1681.25
91,2022-02-03,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,1439.2000,1439.2000,1400.0000,1403.1000,3246,4580257.8000,1411.0000,2079.0000,1026.0000,2022-02-03T14:58:26.998188,1403.1000,113,1411.04,4507.11
92,2022-02-03,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,1071.0000,1105.0000,1071.0000,1088.0000,8364,9168388.4000,1066.0000,1849.2000,356.0000,2022-02-03T14:59:51.896883,1088.0000,194,1096.17,4879.42
93,2022-02-03,5982,SLI,Sanima Life Insurance Limited,560.0000,598.0000,560.0000,577.0000,54574,31737511.7000,570.0000,787.8000,309.0000,2022-02-03T14:59:57.011569,577.0000,1796,581.55,11540.00
94,2022-02-03,8022,TPC,Terhathum Power Company Limited,613.0000,663.0000,613.0000,635.0000,26223,16538315.7000,611.0000,663.0000,254.2000,2022-02-03T14:59:59.837397,635.0000,546,630.67,2540.00
95,2022-02-03,131,NABIL,Nabil Bank Limited,1141.5000,1143.5000,1121.0000,1122.0000,61153,68883392.7000,1121.1000,1740.0000,1086.0000,2022-02-03T14:59:52.239448,1122.0000,926,1126.41,206153.86
96,2022-02-03,137,EBL,Everest Bank Limited,590.0000,595.0000,585.0000,585.0000,29116,17151039.5000,585.0000,864.0000,515.0000,2022-02-03T14:59:18.781875,585.0000,162,589.05,55149.94
97,2022-02-03,138,BOKL,Bank of Kathmandu Ltd.,300.0000,305.0000,292.0000,292.2000,27569,8125811.0000,294.5000,433.2000,240.2000,2022-02-03T14:59:30.862516,292.2000,265,294.74,31043.31
98,2022-02-03,140,MBL,Machhapuchhre Bank Limited,330.0000,335.0000,325.0000,325.0000,87824,28866394.6000,330.0000,455.0000,279.0000,2022-02-03T14:59:58.951026,325.0000,435,328.68,33335.76
99,2022-02-03,181,EIC,Everest Insurance Co. Ltd.,740.0000,754.8000,730.5000,738.0000,22447,16679481.8000,734.5000,885.0000,526.0000,2022-02-03T14:59:59.779434,738.0000,133,743.06,8735.00
100,2022-02-03,182,PIC,Premier Insurance Co. Ltd.,1020.0000,1020.0000,995.0000,995.0000,13642,13712512.2000,1000.0000,1399.0000,817.0000,2022-02-03T14:59:49.858679,995.0000,135,1005.16,12215.46
101,2022-02-03,187,NLIC,Nepal Life Insurance Co. Ltd.,1680.1000,1703.0000,1624.0000,1630.0000,120203,198136578.2000,1670.0000,2470.0000,1270.0000,2022-02-03T14:59:58.952801,1630.0000,1411,1648.34,117359.52
102,2022-02-03,189,PICL,Prudential Insurance Co. Ltd.,766.0000,774.9000,754.0000,754.0000,20917,15973903.0000,769.0000,994.0000,543.0000,2022-02-03T14:59:56.973999,754.0000,93,763.68,8358.44
103,2022-02-03,357,PCBL,Prime Commercial Bank Ltd.,362.0000,367.5000,357.6000,359.0000,43183,15597792.7000,359.9000,540.0000,310.0000,2022-02-03T14:59:55.592734,359.0000,360,361.20,66976.20
104,2022-02-03,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,1180.0000,1192.0000,1159.0000,1159.0000,6657,7776126.6000,1175.0000,1685.0000,890.0000,2022-02-03T14:58:17.577524,1159.0000,79,1168.11,5958.41
105,2022-02-03,591,SHPC,Sanima Mai Hydropower Ltd.,463.0000,469.0000,453.0000,455.0000,214167,99004146.6000,454.0000,675.0000,326.0000,2022-02-03T14:59:58.729132,455.0000,1064,462.27,14056.09
106,2022-02-03,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,16707.0000,16823.0000,16200.0000,16401.0000,1080,17820969.0000,16380.0000,20185.0000,11310.0000,2022-02-03T14:59:54.640919,16401.0000,32,16500.89,29133.03
107,2022-02-03,2760,UMHL,United Modi Hydropower Ltd.,446.7000,456.0000,435.0000,437.0000,213694,95841647.5000,442.0000,646.6000,152.0000,2022-02-03T14:59:57.695742,437.0000,1044,448.49,5025.50
108,2022-02-03,2765,LEMF,Laxmi Equity Fund,10.5100,10.7200,10.5100,10.6500,40690,433728.9000,10.7200,19.3400,9.1600,2022-02-03T14:57:20.461229,10.6500,18,10.65,1331.25
109,2022-02-03,2789,JOSHI,Joshi Hydropower Development Company Ltd,341.7000,349.8000,333.2000,334.0000,132280,45437257.6000,335.0000,507.0000,113.0000,2022-02-03T14:59:58.363427,334.0000,732,343.49,1240.48
110,2022-02-03,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,431.0000,434.0000,415.0000,417.0000,37300,15782234.8000,423.0000,550.0000,281.0000,2022-02-03T14:59:54.981077,417.0000,452,423.11,13698.45
111,2022-02-03,3946,CHDC,CEDB Hydropower Development Company Limited,1093.0000,1130.0000,1070.1000,1122.0000,66295,73318641.7000,1090.0000,1415.0000,416.0000,2022-02-03T14:59:57.307338,1122.0000,1161,1105.94,9418.18
